"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step+Adaptive Lasso",0.05,10000,1000,160,10,0.2785043366312,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,160,10,0.0137252112526072,NA,NA
"glmnet",0.05,10000,1000,160,10,0.030861254103756,1,0
"two-step",0.05,10000,1000,161,10,0.180263673176346,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,161,10,0.285988744018433,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,161,10,0.0114059855087367,NA,NA
"glmnet",0.05,10000,1000,161,10,0.0235611765533335,1,0
"two-step",0.05,10000,1000,162,10,0.153531235308656,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,162,10,0.36263225608212,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,162,10,0.0245419123169078,NA,NA
"glmnet",0.05,10000,1000,162,10,0.036452951870476,1,0
"two-step",0.05,10000,1000,163,10,0.137443509265355,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,163,10,0.255330745123311,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,163,10,0.0145621762884439,NA,NA
"glmnet",0.05,10000,1000,163,10,0.0261360331657097,1,0
"two-step",0.05,10000,1000,164,10,0.116231176316181,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,164,10,0.170278904423128,1,0
"two-step oracle",0.05,10000,1000,164,10,0.0105337001225839,NA,NA
"glmnet",0.05,10000,1000,164,10,0.0256746082165679,1,0
"two-step",0.05,10000,1000,165,10,0.143696633464164,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,165,10,0.293481856350944,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,165,10,0.0181149697952273,NA,NA
"glmnet",0.05,10000,1000,165,10,0.0322393838504301,1,0
"two-step",0.05,10000,1000,166,10,0.133204764021918,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,166,10,0.17398928832095,1,0
"two-step oracle",0.05,10000,1000,166,10,0.0159234317055033,NA,NA
"glmnet",0.05,10000,1000,166,10,0.025176651916433,1,0
"two-step",0.05,10000,1000,167,10,0.0877612003721692,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,167,10,0.211723203081453,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,167,10,0.0136528358485551,NA,NA
"glmnet",0.05,10000,1000,167,10,0.0282715384565149,1,0
"two-step",0.05,10000,1000,168,10,0.187880144090492,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,168,10,0.312711912782381,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,168,10,0.00869147833904269,NA,NA
