"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step",0.2,2500,1000,417,10,0.0417563509950859,1,0.0242424242424242
"two-step+Adaptive Lasso",0.2,2500,1000,417,10,0.0396802343700578,1,0
"two-step oracle",0.2,2500,1000,417,10,0.0272159077096,NA,NA
"glmnet",0.2,2500,1000,417,10,0.039771858611301,1,0
"two-step",0.2,2500,1000,418,10,0.0540735177129823,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,418,10,0.0577974246961363,1,0
"two-step oracle",0.2,2500,1000,418,10,0.0399327046382325,NA,NA
"glmnet",0.2,2500,1000,418,10,0.0585218851404323,1,0
"two-step",0.2,2500,1000,419,10,0.0783623874382914,1,0.0444444444444444
"two-step+Adaptive Lasso",0.2,2500,1000,419,10,0.166329006485994,1,0.0363636363636364
"two-step oracle",0.2,2500,1000,419,10,0.0298070457699464,NA,NA
"glmnet",0.2,2500,1000,419,10,0.05321890576276,1,0
"two-step",0.2,2500,1000,41,10,0.0560323177173145,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,41,10,0.0562523188439377,1,0
"two-step oracle",0.2,2500,1000,41,10,0.0336337839815184,NA,NA
"glmnet",0.2,2500,1000,41,10,0.0524403161014717,1,0
"two-step",0.2,2500,1000,420,10,0.0447083493697786,1,0.0161616161616162
"two-step+Adaptive Lasso",0.2,2500,1000,420,10,0.0538294993818377,1,0
"two-step oracle",0.2,2500,1000,420,10,0.0258687384241969,NA,NA
"glmnet",0.2,2500,1000,420,10,0.0406983267005847,1,0
"two-step",0.2,2500,1000,421,10,0.0425540104505565,1,0.00606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,421,10,0.0464229381066965,1,0
"two-step oracle",0.2,2500,1000,421,10,0.0248031424248916,NA,NA
"glmnet",0.2,2500,1000,421,10,0.0383256882366535,1,0
"two-step",0.2,2500,1000,422,10,0.0423030291852208,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,422,10,0.053099482862963,1,0
"two-step oracle",0.2,2500,1000,422,10,0.0453298963668007,NA,NA
"glmnet",0.2,2500,1000,422,10,0.0585826072106305,1,0
"two-step",0.2,2500,1000,423,10,0.043443170006017,1,0.0121212121212121
"two-step+Adaptive Lasso",0.2,2500,1000,423,10,0.0373387665491081,1,0
"two-step oracle",0.2,2500,1000,423,10,0.0322327644846887,NA,NA
"glmnet",0.2,2500,1000,423,10,0.0575825967094272,1,0
"two-step",0.2,2500,1000,424,10,0.0500386068649019,1,0.0111111111111111
"two-step+Adaptive Lasso",0.2,2500,1000,424,10,0.0608412813930791,1,0.00101010101010101
"two-step oracle",0.2,2500,1000,424,10,0.0152609643495442,NA,NA
"glmnet",0.2,2500,1000,424,10,0.0424359610548093,1,0.00101010101010101
"two-step",0.2,2500,1000,425,10,0.0446008554568896,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,425,10,0.044282090675094,1,0
"two-step oracle",0.2,2500,1000,425,10,0.0278941401808118,NA,NA
"glmnet",0.2,2500,1000,425,10,0.0428126365123767,1,0
"two-step",0.2,2500,1000,426,10,0.0587697012633314,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,426,10,0.0540252706282353,1,0
"two-step oracle",0.2,2500,1000,426,10,0.0369045118338878,NA,NA
"glmnet",0.2,2500,1000,426,10,0.0457542161453181,1,0
"two-step",0.2,2500,1000,427,10,0.0440993550280476,1,0.0141414141414141
"two-step+Adaptive Lasso",0.2,2500,1000,427,10,0.0470646827503596,1,0
"two-step oracle",0.2,2500,1000,427,10,0.0328713960283431,NA,NA
"glmnet",0.2,2500,1000,427,10,0.0452270414731674,1,0
"two-step",0.2,2500,1000,428,10,0.0628928516949183,1,0.00505050505050505
"two-step+Adaptive Lasso",0.2,2500,1000,428,10,0.0636564924983373,1,0
"two-step oracle",0.2,2500,1000,428,10,0.0428625587213664,NA,NA
"glmnet",0.2,2500,1000,428,10,0.0624131185236881,1,0
"two-step",0.2,2500,1000,429,10,0.0592792455423002,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,429,10,0.0531288394583202,1,0
"two-step oracle",0.2,2500,1000,429,10,0.032598598679517,NA,NA
"glmnet",0.2,2500,1000,429,10,0.0547344989665095,1,0
"two-step",0.2,2500,1000,42,10,0.0638635116762509,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,42,10,0.0685303586005061,1,0
"two-step oracle",0.2,2500,1000,42,10,0.0350061228357304,NA,NA
"glmnet",0.2,2500,1000,42,10,0.0447033527925296,1,0
"two-step",0.2,2500,1000,430,10,0.0388033128955731,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,430,10,0.0235448473861468,1,0
"two-step oracle",0.2,2500,1000,430,10,0.0252263599678162,NA,NA
"glmnet",0.2,2500,1000,430,10,0.0444071608970033,1,0
"two-step",0.2,2500,1000,431,10,0.0516722061423218,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,431,10,0.043714364279938,1,0
"two-step oracle",0.2,2500,1000,431,10,0.0286346538876472,NA,NA
"glmnet",0.2,2500,1000,431,10,0.0384866237596953,1,0
"two-step",0.2,2500,1000,432,10,0.0518260491993083,1,0.00606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,432,10,0.0567757799976553,1,0
"two-step oracle",0.2,2500,1000,432,10,0.0318359764188408,NA,NA
"glmnet",0.2,2500,1000,432,10,0.0408586952372315,1,0
"two-step",0.2,2500,1000,433,10,0.0539437646865798,1,0.0262626262626263
"two-step+Adaptive Lasso",0.2,2500,1000,433,10,0.0601811457593612,1,0
"two-step oracle",0.2,2500,1000,433,10,0.0297882303735367,NA,NA
"glmnet",0.2,2500,1000,433,10,0.0439985794364675,1,0
"two-step",0.2,2500,1000,437,10,0.0417756485928826,1,0.00606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,437,10,0.037271896068958,1,0
"two-step oracle",0.2,2500,1000,437,10,0.0183124896821842,NA,NA
"glmnet",0.2,2500,1000,437,10,0.038062194506615,1,0
"two-step",0.2,2500,1000,438,10,0.0445484632400734,1,0.00606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,438,10,0.0431040205088842,1,0
"two-step oracle",0.2,2500,1000,438,10,0.0318226885726448,NA,NA
"glmnet",0.2,2500,1000,438,10,0.0527450743359683,1,0
"two-step",0.2,2500,1000,439,10,0.0623441153182107,1,0.0191919191919192
"two-step+Adaptive Lasso",0.2,2500,1000,439,10,0.0636242615342699,1,0
"two-step oracle",0.2,2500,1000,439,10,0.0296371410472666,NA,NA
"glmnet",0.2,2500,1000,439,10,0.0383273167151302,1,0
"two-step",0.2,2500,1000,43,10,0.041850748453243,1,0.00808080808080808
"two-step+Adaptive Lasso",0.2,2500,1000,43,10,0.0357639058915162,1,0
"two-step oracle",0.2,2500,1000,43,10,0.028239994873748,NA,NA
"glmnet",0.2,2500,1000,43,10,0.0414715722804103,1,0
"two-step",0.2,2500,1000,443,10,0.0375736050923045,1,0.0101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,443,10,0.0382835581846083,1,0
"two-step oracle",0.2,2500,1000,443,10,0.0155286783445247,NA,NA
"glmnet",0.2,2500,1000,443,10,0.0400027266883526,1,0
"two-step",0.2,2500,1000,444,10,0.0508184601365952,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,444,10,0.0383182659460218,1,0
"two-step oracle",0.2,2500,1000,444,10,0.0256501782771904,NA,NA
"glmnet",0.2,2500,1000,444,10,0.0477740298587355,1,0
"two-step",0.2,2500,1000,445,10,0.0482900791573484,1,0.0262626262626263
"two-step+Adaptive Lasso",0.2,2500,1000,445,10,0.0239520482331616,1,0
"two-step oracle",0.2,2500,1000,445,10,0.0265243335567969,NA,NA
"glmnet",0.2,2500,1000,445,10,0.0519185146352937,1,0
"two-step",0.2,2500,1000,446,10,0.0347800399760061,1,0
"two-step+Adaptive Lasso",0.2,2500,1000,446,10,0.0449705770749249,1,0
"two-step oracle",0.2,2500,1000,446,10,0.0218635012831936,NA,NA
"glmnet",0.2,2500,1000,446,10,0.0360193676400927,1,0
"two-step",0.2,2500,1000,447,10,0.0495890277976669,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,447,10,0.0500334991326918,1,0
"two-step oracle",0.2,2500,1000,447,10,0.0335795316845701,NA,NA
"glmnet",0.2,2500,1000,447,10,0.0516139201413507,1,0
"two-step",0.2,2500,1000,448,10,0.0400039792854848,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,448,10,0.0466596879493268,1,0
"two-step oracle",0.2,2500,1000,448,10,0.02434546825677,NA,NA
"glmnet",0.2,2500,1000,448,10,0.0366959039608461,1,0
"two-step",0.2,2500,1000,449,10,0.0363057409035705,1,0.0101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,449,10,0.0416034037942528,1,0
"two-step oracle",0.2,2500,1000,449,10,0.0237390906583463,NA,NA
"glmnet",0.2,2500,1000,449,10,0.0359073107196086,1,0
"two-step",0.2,2500,1000,44,10,0.0427924637061678,1,0.00808080808080808
"two-step+Adaptive Lasso",0.2,2500,1000,44,10,0.0417340143965023,1,0
"two-step oracle",0.2,2500,1000,44,10,0.0278773272871966,NA,NA
"glmnet",0.2,2500,1000,44,10,0.0542004816812629,1,0
"two-step",0.2,2500,1000,451,10,0.0399567633520007,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,451,10,0.0376222694224078,1,0
"two-step oracle",0.2,2500,1000,451,10,0.034179995231153,NA,NA
"glmnet",0.2,2500,1000,451,10,0.0422389038556592,1,0
"two-step",0.2,2500,1000,452,10,0.0441676154119617,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,452,10,0.0303658995192878,1,0
"two-step oracle",0.2,2500,1000,452,10,0.0170947956302946,NA,NA
"glmnet",0.2,2500,1000,452,10,0.0468368368448495,1,0
"two-step",0.2,2500,1000,453,10,0.0426935247788018,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,453,10,0.0465772131951344,1,0
"two-step oracle",0.2,2500,1000,453,10,0.0323682412469464,NA,NA
"glmnet",0.2,2500,1000,453,10,0.0439248584564379,1,0
"two-step",0.2,2500,1000,454,10,0.0443665001239642,1,0.0161616161616162
"two-step+Adaptive Lasso",0.2,2500,1000,454,10,0.0254061817574846,1,0
"two-step oracle",0.2,2500,1000,454,10,0.017853128471296,NA,NA
"glmnet",0.2,2500,1000,454,10,0.0509850330141795,1,0
"two-step",0.2,2500,1000,455,10,0.0452068589895871,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,455,10,0.0309133277594226,1,0
"two-step oracle",0.2,2500,1000,455,10,0.0302110051925325,NA,NA
"glmnet",0.2,2500,1000,455,10,0.0635926833123974,1,0
"two-step",0.2,2500,1000,458,10,0.0378502403161537,1,0.0101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,458,10,0.0312973615176915,1,0
"two-step oracle",0.2,2500,1000,458,10,0.0209149575944325,NA,NA
"glmnet",0.2,2500,1000,458,10,0.0535590329014536,1,0
"two-step",0.2,2500,1000,459,10,0.0589801627317349,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,459,10,0.0451441080390904,1,0
"two-step oracle",0.2,2500,1000,459,10,0.0240475488717957,NA,NA
"glmnet",0.2,2500,1000,459,10,0.0520390697875933,1,0
"two-step",0.2,2500,1000,45,10,0.050900958049765,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,45,10,0.0379399145111245,1,0
"two-step oracle",0.2,2500,1000,45,10,0.0269295051543756,NA,NA
"glmnet",0.2,2500,1000,45,10,0.0510822959619812,1,0
"two-step",0.2,2500,1000,460,10,0.0410765550716416,1,0.0141414141414141
"two-step+Adaptive Lasso",0.2,2500,1000,460,10,0.0251550503321581,1,0
"two-step oracle",0.2,2500,1000,460,10,0.0324202752677837,NA,NA
"glmnet",0.2,2500,1000,460,10,0.0450653576982884,1,0
"two-step",0.2,2500,1000,461,10,0.0578549472206288,1,0
"two-step+Adaptive Lasso",0.2,2500,1000,461,10,0.052042198476998,1,0
"two-step oracle",0.2,2500,1000,461,10,0.0248256545982215,NA,NA
"glmnet",0.2,2500,1000,461,10,0.0466875605609945,1,0
"two-step",0.2,2500,1000,462,10,0.0468977486571934,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,462,10,0.0375563321826076,1,0
"two-step oracle",0.2,2500,1000,462,10,0.0181450083085757,NA,NA
"glmnet",0.2,2500,1000,462,10,0.0443643602815171,1,0
"two-step",0.2,2500,1000,463,10,0.0453162330702508,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,463,10,0.0557965176111857,1,0
"two-step oracle",0.2,2500,1000,463,10,0.0280209204057625,NA,NA
"glmnet",0.2,2500,1000,463,10,0.0412099689059774,1,0
"two-step",0.2,2500,1000,464,10,0.0713790564685281,1,0.0414141414141414
"two-step+Adaptive Lasso",0.2,2500,1000,464,10,0.0592924946623054,1,0
"two-step oracle",0.2,2500,1000,464,10,0.0305669304190121,NA,NA
"glmnet",0.2,2500,1000,464,10,0.0488804561549604,1,0.00101010101010101
"two-step",0.2,2500,1000,465,10,0.0524695852449552,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,465,10,0.0515261409833389,1,0
"two-step oracle",0.2,2500,1000,465,10,0.028269756775513,NA,NA
"glmnet",0.2,2500,1000,465,10,0.0415737476806023,1,0
"two-step",0.2,2500,1000,466,10,0.0488595793927068,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,466,10,0.0346321008688849,1,0
"two-step oracle",0.2,2500,1000,466,10,0.0303646156617638,NA,NA
"glmnet",0.2,2500,1000,466,10,0.0513246455908547,1,0
"two-step",0.2,2500,1000,467,10,0.0406864180330627,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,467,10,0.045013575790363,1,0
"two-step oracle",0.2,2500,1000,467,10,0.0256228109784542,NA,NA
"glmnet",0.2,2500,1000,467,10,0.040013673979385,1,0
"two-step",0.2,2500,1000,468,10,0.0560633057086036,1,0.00808080808080808
"two-step+Adaptive Lasso",0.2,2500,1000,468,10,0.0419360173928,1,0
"two-step oracle",0.2,2500,1000,468,10,0.0301815263583494,NA,NA
"glmnet",0.2,2500,1000,468,10,0.0498809464182781,1,0
"two-step",0.2,2500,1000,469,10,0.0419786832552119,1,0
"two-step+Adaptive Lasso",0.2,2500,1000,469,10,0.0357929503146496,1,0
"two-step oracle",0.2,2500,1000,469,10,0.0144512457617415,NA,NA
"glmnet",0.2,2500,1000,469,10,0.0470813580425505,1,0
"two-step",0.2,2500,1000,46,10,0.0483620481449828,1,0.00505050505050505
"two-step+Adaptive Lasso",0.2,2500,1000,46,10,0.0517697427114765,1,0
"two-step oracle",0.2,2500,1000,46,10,0.0308377042548982,NA,NA
"glmnet",0.2,2500,1000,46,10,0.0496416916903967,1,0
"two-step",0.2,2500,1000,471,10,0.0356422744479345,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,471,10,0.0355514697447769,1,0
"two-step oracle",0.2,2500,1000,471,10,0.0237281132733714,NA,NA
"glmnet",0.2,2500,1000,471,10,0.0422378268189507,1,0
"two-step",0.2,2500,1000,472,10,0.0454375706433155,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,472,10,0.0323977885903578,1,0
"two-step oracle",0.2,2500,1000,472,10,0.0290308724281602,NA,NA
"glmnet",0.2,2500,1000,472,10,0.0484899777242029,1,0
"two-step",0.2,2500,1000,473,10,0.0565783643134035,1,0.0101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,473,10,0.0441120336922893,1,0
"two-step oracle",0.2,2500,1000,473,10,0.0287899847767415,NA,NA
"glmnet",0.2,2500,1000,473,10,0.0491029741963499,1,0
"two-step",0.2,2500,1000,474,10,0.0520889829333754,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,474,10,0.0582943275469361,1,0
"two-step oracle",0.2,2500,1000,474,10,0.0283646096494581,NA,NA
"glmnet",0.2,2500,1000,474,10,0.0411602989816815,1,0
"two-step",0.2,2500,1000,475,10,0.0485729634327142,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,475,10,0.05593231522355,1,0
"two-step oracle",0.2,2500,1000,475,10,0.0327049922979973,NA,NA
"glmnet",0.2,2500,1000,475,10,0.0415130135718312,1,0
"two-step",0.2,2500,1000,476,10,0.0410971743213701,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,476,10,0.0357827682555571,1,0
"two-step oracle",0.2,2500,1000,476,10,0.0315807968055357,NA,NA
"glmnet",0.2,2500,1000,476,10,0.0491715750449209,1,0
"two-step",0.2,2500,1000,477,10,0.0575924376403176,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,477,10,0.0583908412638467,1,0
"two-step oracle",0.2,2500,1000,477,10,0.0272447742330881,NA,NA
"glmnet",0.2,2500,1000,477,10,0.0406724398159658,1,0
"two-step",0.2,2500,1000,478,10,0.0357068276285783,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,478,10,0.0421187331303455,1,0
"two-step oracle",0.2,2500,1000,478,10,0.02842678492953,NA,NA
"glmnet",0.2,2500,1000,478,10,0.0404234623199877,1,0
"two-step",0.2,2500,1000,47,10,0.0404695014325605,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,47,10,0.0413781813023487,1,0
"two-step oracle",0.2,2500,1000,47,10,0.0214113087408399,NA,NA
"glmnet",0.2,2500,1000,47,10,0.0423136182844116,1,0
"two-step",0.2,2500,1000,481,10,0.0550087994283417,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,481,10,0.0474563952458979,1,0
"two-step oracle",0.2,2500,1000,481,10,0.0375026522692743,NA,NA
"glmnet",0.2,2500,1000,481,10,0.0572863432743513,1,0
"two-step",0.2,2500,1000,482,10,0.0568160842607354,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,482,10,0.0524984195438221,1,0
"two-step oracle",0.2,2500,1000,482,10,0.0435567786690737,NA,NA
"glmnet",0.2,2500,1000,482,10,0.0603006410780689,1,0
"two-step",0.2,2500,1000,483,10,0.0407974992437398,1,0.00808080808080808
"two-step+Adaptive Lasso",0.2,2500,1000,483,10,0.029857223967628,1,0
"two-step oracle",0.2,2500,1000,483,10,0.0245916972789312,NA,NA
"glmnet",0.2,2500,1000,483,10,0.0511529092655239,1,0
"two-step",0.2,2500,1000,484,10,0.0584168801599286,1,0.0141414141414141
"two-step+Adaptive Lasso",0.2,2500,1000,484,10,0.0501374406533247,1,0
"two-step oracle",0.2,2500,1000,484,10,0.0245539964463706,NA,NA
"glmnet",0.2,2500,1000,484,10,0.0349878159080845,1,0
"two-step",0.2,2500,1000,485,10,0.0349251623012682,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,485,10,0.0309720217984299,1,0
"two-step oracle",0.2,2500,1000,485,10,0.0181494057980847,NA,NA
"glmnet",0.2,2500,1000,485,10,0.0414381869001128,1,0
"two-step",0.2,2500,1000,486,10,0.0617538658535171,1,0.00505050505050505
"two-step+Adaptive Lasso",0.2,2500,1000,486,10,0.0513735592833935,1,0
"two-step oracle",0.2,2500,1000,486,10,0.0296745766418121,NA,NA
"glmnet",0.2,2500,1000,486,10,0.057357751766311,1,0
"two-step",0.2,2500,1000,487,10,0.0332199776042306,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,487,10,0.0241764810721756,1,0
"two-step oracle",0.2,2500,1000,487,10,0.0180154202026085,NA,NA
"glmnet",0.2,2500,1000,487,10,0.0377076325756268,1,0
"two-step",0.2,2500,1000,48,10,0.0550611826791677,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,48,10,0.0654828777030697,1,0
"two-step oracle",0.2,2500,1000,48,10,0.0261068922999054,NA,NA
"glmnet",0.2,2500,1000,48,10,0.0428558243472897,1,0
"two-step",0.2,2500,1000,490,10,0.0497272354092277,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,490,10,0.0477168943813635,1,0
"two-step oracle",0.2,2500,1000,490,10,0.0257899366434359,NA,NA
"glmnet",0.2,2500,1000,490,10,0.0411890117403668,1,0
"two-step",0.2,2500,1000,492,10,0.0733323208180805,1,0.0606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,492,10,0.0306382785271035,1,0
"two-step oracle",0.2,2500,1000,492,10,0.020041192855405,NA,NA
"glmnet",0.2,2500,1000,492,10,0.045055222299168,1,0
"two-step",0.2,2500,1000,493,10,0.0361377684835023,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,493,10,0.0310783139978734,1,0
"two-step oracle",0.2,2500,1000,493,10,0.0256555949671459,NA,NA
"glmnet",0.2,2500,1000,493,10,0.0416456061949372,1,0
"two-step",0.2,2500,1000,496,10,0.0634253930384621,1,0.0131313131313131
"two-step+Adaptive Lasso",0.2,2500,1000,496,10,0.0514922779797326,1,0
"two-step oracle",0.2,2500,1000,496,10,0.0304100383395843,NA,NA
"glmnet",0.2,2500,1000,496,10,0.0506464783344055,1,0
"two-step",0.2,2500,1000,497,10,0.057947376034758,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,497,10,0.0583239680600403,1,0
"two-step oracle",0.2,2500,1000,497,10,0.0345556507273623,NA,NA
"glmnet",0.2,2500,1000,497,10,0.0477800471820321,1,0
"two-step",0.2,2500,1000,498,10,0.0506967267015659,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,498,10,0.0543987161816904,1,0
"two-step oracle",0.2,2500,1000,498,10,0.0306329136803317,NA,NA
"glmnet",0.2,2500,1000,498,10,0.0533637891254282,1,0
"two-step",0.2,2500,1000,499,10,0.0335477130432091,1,0.00101010101010101
"two-step+Adaptive Lasso",0.2,2500,1000,499,10,0.0382867542034106,1,0
"two-step oracle",0.2,2500,1000,499,10,0.0102270333598718,NA,NA
"glmnet",0.2,2500,1000,499,10,0.0234773052742355,1,0
"two-step",0.2,2500,1000,49,10,0.0319205442686046,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,49,10,0.0408753728124997,1,0
"two-step oracle",0.2,2500,1000,49,10,0.0278329316592398,NA,NA
"glmnet",0.2,2500,1000,49,10,0.0378390799438047,1,0
"two-step",0.2,2500,1000,4,10,0.0600770935621067,1,0.0161616161616162
"two-step+Adaptive Lasso",0.2,2500,1000,4,10,0.0637739053572494,1,0
"two-step oracle",0.2,2500,1000,4,10,0.040788835856163,NA,NA
"glmnet",0.2,2500,1000,4,10,0.0540619636517783,1,0
"two-step",0.2,2500,1000,500,10,0.0552888388106138,1,0.0313131313131313
"two-step+Adaptive Lasso",0.2,2500,1000,500,10,0.0342141245947756,1,0
"two-step oracle",0.2,2500,1000,500,10,0.0353257629203127,NA,NA
"glmnet",0.2,2500,1000,500,10,0.0525609270234983,1,0
"two-step",0.2,2500,1000,50,10,0.0602828376275871,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,50,10,0.0709382584539898,1,0
"two-step oracle",0.2,2500,1000,50,10,0.0234299676587492,NA,NA
"glmnet",0.2,2500,1000,50,10,0.0434068410922252,1,0
"two-step",0.2,2500,1000,51,10,0.0864854488679471,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,51,10,0.0789878959338181,1,0
"two-step oracle",0.2,2500,1000,51,10,0.0317431529737032,NA,NA
"glmnet",0.2,2500,1000,51,10,0.055853051503388,1,0
"two-step",0.2,2500,1000,52,10,0.063905956831915,1,0.00303030303030303
"two-step+Adaptive Lasso",0.2,2500,1000,52,10,0.0638545950316734,1,0
"two-step oracle",0.2,2500,1000,52,10,0.0292633357960064,NA,NA
"glmnet",0.2,2500,1000,52,10,0.0455236907325269,1,0
"two-step",0.2,2500,1000,53,10,0.0549221459446737,1,0.00707070707070707
"two-step+Adaptive Lasso",0.2,2500,1000,53,10,0.0454419865068511,1,0
"two-step oracle",0.2,2500,1000,53,10,0.0270491608697517,NA,NA
"glmnet",0.2,2500,1000,53,10,0.0484846150941423,1,0
"two-step",0.2,2500,1000,56,10,0.0471317598058427,1,0.0151515151515152
"two-step+Adaptive Lasso",0.2,2500,1000,56,10,0.0303824646444583,1,0
"two-step oracle",0.2,2500,1000,56,10,0.0391295438082044,NA,NA
"glmnet",0.2,2500,1000,56,10,0.0535598269561112,1,0
"two-step",0.2,2500,1000,57,10,0.0561473214272791,1,0.00808080808080808
"two-step+Adaptive Lasso",0.2,2500,1000,57,10,0.0435071987547255,1,0
"two-step oracle",0.2,2500,1000,57,10,0.0350904832548641,NA,NA
"glmnet",0.2,2500,1000,57,10,0.0528226275028886,1,0
"two-step",0.2,2500,1000,58,10,0.0476420509037154,1,0.00909090909090909
"two-step+Adaptive Lasso",0.2,2500,1000,58,10,0.0512595417159776,1,0
"two-step oracle",0.2,2500,1000,58,10,0.0432124666414479,NA,NA
"glmnet",0.2,2500,1000,58,10,0.0529118859261525,1,0
"two-step",0.2,2500,1000,59,10,0.049004470785671,1,0.0151515151515152
"two-step+Adaptive Lasso",0.2,2500,1000,59,10,0.0449557004197661,1,0
"two-step oracle",0.2,2500,1000,59,10,0.0256486972085866,NA,NA
"glmnet",0.2,2500,1000,59,10,0.0424995059406624,1,0.00101010101010101
"two-step",0.2,2500,1000,5,10,0.0667522886771261,1,0.00808080808080808
"two-step+Adaptive Lasso",0.2,2500,1000,5,10,0.0624155521668462,1,0
"two-step oracle",0.2,2500,1000,5,10,0.0443148965864159,NA,NA
"glmnet",0.2,2500,1000,5,10,0.0576294073068943,1,0
"two-step",0.2,2500,1000,60,10,0.0471471506819438,1,0.00606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,60,10,0.0499873897079292,1,0
"two-step oracle",0.2,2500,1000,60,10,0.0203916650780225,NA,NA
"glmnet",0.2,2500,1000,60,10,0.034867228175679,1,0
"two-step",0.2,2500,1000,61,10,0.0549549603690661,1,0.0141414141414141
"two-step+Adaptive Lasso",0.2,2500,1000,61,10,0.0443646893090597,1,0
"two-step oracle",0.2,2500,1000,61,10,0.0253767922746804,NA,NA
"glmnet",0.2,2500,1000,61,10,0.0417395262077356,1,0
"two-step",0.2,2500,1000,62,10,0.0362255832828996,1,0.00606060606060606
"two-step+Adaptive Lasso",0.2,2500,1000,62,10,0.0268045417784296,1,0
"two-step oracle",0.2,2500,1000,62,10,0.0353485036898848,NA,NA
"glmnet",0.2,2500,1000,62,10,0.0526384254616087,1,0
"two-step",0.2,2500,1000,63,10,0.0693716132312512,1,0.00505050505050505
"two-step+Adaptive Lasso",0.2,2500,1000,63,10,0.0680786419471439,1,0
"two-step oracle",0.2,2500,1000,63,10,0.0479714839221421,NA,NA
"glmnet",0.2,2500,1000,63,10,0.0564718702881016,1,0
"two-step",0.2,2500,1000,67,10,0.0495499011486434,1,0.0151515151515152
"two-step+Adaptive Lasso",0.2,2500,1000,67,10,0.0408738358670226,1,0
"two-step oracle",0.2,2500,1000,67,10,0.0283848142336139,NA,NA
"glmnet",0.2,2500,1000,67,10,0.0516351443602869,1,0
"two-step",0.2,2500,1000,69,10,0.0544844147196615,1,0.00202020202020202
"two-step+Adaptive Lasso",0.2,2500,1000,69,10,0.0563590379512113,1,0
"two-step oracle",0.2,2500,1000,69,10,0.0311690757019695,NA,NA
"glmnet",0.2,2500,1000,69,10,0.0490023982616917,1,0
"two-step",0.2,2500,1000,6,10,0.0478029198485768,1,0.00404040404040404
"two-step+Adaptive Lasso",0.2,2500,1000,6,10,0.0389913067559782,1,0
