"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step+refitted",0.05,10000,1000,136,10,0.0738299401859811,0.321898241200611,1,0.0555555555555556
"two-step oracle",0.05,10000,1000,136,10,0.0687927534897703,0,NA,NA
"two-step",0.05,10000,1000,137,10,0.115165808372697,0.0638838515904515,1,0.0505050505050505
"two-step+refitted",0.05,10000,1000,137,10,0.049945536910507,0.289816633975981,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,137,10,0.0564358343941568,0,NA,NA
"two-step",0.05,10000,1000,138,10,0.138003337799425,0.0160175422759,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,138,10,0.0726645317884538,0.161620884951278,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,138,10,0.0693379046293609,0,NA,NA
"two-step",0.05,10000,1000,139,10,0.130820838439655,0.0767754240803109,1,0.0606060606060606
"two-step+refitted",0.05,10000,1000,139,10,0.0557992976358684,0.32888671546374,1,0.0606060606060606
"two-step oracle",0.05,10000,1000,139,10,0.050923463591055,0,NA,NA
"two-step",0.05,10000,1000,13,10,0.120178811735171,0.0538313631344617,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,13,10,0.0485548550200302,0.230427269819146,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,13,10,0.0473184149703977,0,NA,NA
"two-step",0.05,10000,1000,140,10,0.120332682408819,0.0852058967636221,1,0.0616161616161616
"two-step+refitted",0.05,10000,1000,140,10,0.0398733031282984,0.359893513123212,1,0.0616161616161616
"two-step oracle",0.05,10000,1000,140,10,0.0352720590466324,0,NA,NA
"two-step",0.05,10000,1000,141,10,0.0951275361887728,0.0743381411459859,1,0.0535353535353535
"two-step+refitted",0.05,10000,1000,141,10,0.0491532971824563,0.302027261686983,1,0.0535353535353535
"two-step oracle",0.05,10000,1000,141,10,0.0489056759181859,0,NA,NA
"two-step",0.05,10000,1000,142,10,0.101576256345176,0.0718660077210077,1,0.0585858585858586
"two-step+refitted",0.05,10000,1000,142,10,0.0472726068893466,0.324853922061723,1,0.0585858585858586
"two-step oracle",0.05,10000,1000,142,10,0.0359145193918563,0,NA,NA
"two-step",0.05,10000,1000,143,10,0.171103802557887,0.0493262366891061,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,143,10,0.0841797368668339,0.268610392193235,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,143,10,0.0637149239819308,0,NA,NA
"two-step",0.05,10000,1000,144,10,0.147587119629392,0.102268882731234,1,0.0767676767676768
"two-step+refitted",0.05,10000,1000,144,10,0.0657437544048343,0.360817412773411,1,0.0767676767676768
"two-step oracle",0.05,10000,1000,144,10,0.0647831188821594,0,NA,NA
"two-step",0.05,10000,1000,145,10,0.088196132430324,0.130061384341676,1,0.12020202020202
"two-step+refitted",0.05,10000,1000,145,10,0.0501638945595735,0.423845134018373,1,0.12020202020202
"two-step oracle",0.05,10000,1000,145,10,0.0426990561198798,0,NA,NA
"two-step",0.05,10000,1000,146,10,0.116844859912104,0.0646795399099963,1,0.0424242424242424
"two-step+refitted",0.05,10000,1000,146,10,0.0650991554985205,0.285729916329273,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,146,10,0.0601498275223176,0,NA,NA
"two-step",0.05,10000,1000,147,10,0.162281073440767,0.028547830399228,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,147,10,0.0746142889054928,0.206373611628789,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,147,10,0.0754635202339678,0,NA,NA
"two-step",0.05,10000,1000,148,10,0.102206068557993,0.0397801657609879,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,148,10,0.0843110237832758,0.257862187542708,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,148,10,0.0625750540573095,0,NA,NA
"two-step",0.05,10000,1000,149,10,0.149809595382231,0.0566965816304035,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,149,10,0.0780761097625465,0.260650698199948,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,149,10,0.0833094946477256,0,NA,NA
"two-step",0.05,10000,1000,14,10,0.127152737404203,0.0365779431426098,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,14,10,0.0357439710506227,0.235330568853557,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,14,10,0.0350208732194495,0,NA,NA
"two-step",0.05,10000,1000,150,10,0.142494384909204,0.0397444478667916,1,0.0343434343434343
"two-step+refitted",0.05,10000,1000,150,10,0.0773540721513104,0.237413947690004,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,150,10,0.0795877802525164,0,NA,NA
"two-step",0.05,10000,1000,151,10,0.16893772526538,0.0542286440003062,1,0.0313131313131313
