"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step",0.2,2500,1000,107,10,0.8,0.177082093615401,0.0803817899750214,1,0.0444444444444444
"two-step+refitted",0.2,2500,1000,107,10,0.8,0.100315565515943,0.347462733549613,1,0.0444444444444444
"two-step oracle",0.2,2500,1000,107,10,0.8,0.0869606178759901,0,NA,NA
"two-step",0.2,2500,1000,107,10,1,0.133329720577067,0.0626420097220767,1,0.0474747474747475
"two-step+refitted",0.2,2500,1000,107,10,1,0.0748821754366888,0.266446516047414,1,0.0474747474747475
"two-step oracle",0.2,2500,1000,107,10,1,0.0658998631274461,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.2,1,0.0449850302215916,0,0.00101010101010101
"two-step+refitted",0.2,2500,1000,108,10,0.2,1,0.506375797521058,0,0.00101010101010101
"two-step oracle",0.2,2500,1000,108,10,0.2,0.221268036887875,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.4,0.39137400639623,0.180328843470408,1,0.0454545454545455
"two-step+refitted",0.2,2500,1000,108,10,0.4,0.1363985612739,0.831638994052231,1,0.0454545454545455
"two-step oracle",0.2,2500,1000,108,10,0.4,0.0895732943675842,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.6,0.225213107064584,0.0826889554014219,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,108,10,0.6,0.0710424998269556,0.417840887449899,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,108,10,0.6,0.0492242553882709,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.8,0.148199390354973,0.0654589816744095,1,0.0434343434343434
"two-step+refitted",0.2,2500,1000,108,10,0.8,0.0521144195810297,0.309410631512748,1,0.0434343434343434
"two-step oracle",0.2,2500,1000,108,10,0.8,0.0336215068594174,0,NA,NA
"two-step",0.2,2500,1000,108,10,1,0.113538161195394,0.0475698085044926,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,108,10,1,0.0394648141562112,0.230825519537562,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,108,10,1,0.02547880585823,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.2,0.849316114678088,0.0408188725626898,0.4,0.00303030303030303
"two-step+refitted",0.2,2500,1000,109,10,0.2,0.747434783182658,0.740187888910206,0.4,0.00303030303030303
"two-step oracle",0.2,2500,1000,109,10,0.2,0.535114170577232,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.4,0.490608306508752,0.0772889946486986,1,0.0222222222222222
"two-step+refitted",0.2,2500,1000,109,10,0.4,0.199024066034136,0.665224808300119,1,0.0222222222222222
"two-step oracle",0.2,2500,1000,109,10,0.4,0.216623872998298,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.6,0.253108500569543,0.0665961560932641,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,109,10,0.6,0.105444033812949,0.442897244100584,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,109,10,0.6,0.119043839159314,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.8,0.175690674939704,0.040908218425221,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,109,10,0.8,0.0726622152463018,0.291449068513685,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,109,10,0.8,0.0813101838371317,0,NA,NA
"two-step",0.2,2500,1000,109,10,1,0.133427904597441,0.0305503567280338,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,109,10,1,0.0555151647540403,0.220620024751646,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,109,10,1,0.0616178922897736,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.2,0.922638309984581,0.0487942735565583,0.2,0.00303030303030303
"two-step+refitted",0.2,2500,1000,10,10,0.2,0.816536608237692,0.707748804895872,0.2,0.00303030303030303
"two-step oracle",0.2,2500,1000,10,10,0.2,0.389573107540799,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.4,0.355953588796431,0.182269021182302,1,0.0444444444444444
"two-step+refitted",0.2,2500,1000,10,10,0.4,0.132422505161177,0.795250774638302,1,0.0444444444444444
"two-step oracle",0.2,2500,1000,10,10,0.4,0.157706224225826,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.6,0.199267879109167,0.0940930576312842,1,0.0424242424242424
"two-step+refitted",0.2,2500,1000,10,10,0.6,0.0732987067131889,0.429510387469567,1,0.0424242424242424
"two-step oracle",0.2,2500,1000,10,10,0.6,0.086666137629757,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.8,0.13104281819321,0.0729458785706045,1,0.0494949494949495
"two-step+refitted",0.2,2500,1000,10,10,0.8,0.0548933003402735,0.311514661284956,1,0.0494949494949495
"two-step oracle",0.2,2500,1000,10,10,0.8,0.0591953320129323,0,NA,NA
"two-step",0.2,2500,1000,10,10,1,0.100569834473198,0.053009099952092,1,0.0484848484848485
"two-step+refitted",0.2,2500,1000,10,10,1,0.0402757075938425,0.234532455163529,1,0.0484848484848485
"two-step oracle",0.2,2500,1000,10,10,1,0.0448589760827031,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.2,0.732314391766099,0.36415975867063,0.6,0.0242424242424242
"two-step+refitted",0.2,2500,1000,110,10,0.2,0.733001250514581,1.85950892076966,0.6,0.0242424242424242
"two-step oracle",0.2,2500,1000,110,10,0.2,0.734251396430068,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.4,0.496420271849224,0.15094890906439,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,110,10,0.4,0.276013033234096,0.79402130828325,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,110,10,0.4,0.297238215683045,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.6,0.272330389092978,0.0836704659667752,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,110,10,0.6,0.151416564831889,0.440710918630026,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,110,10,0.6,0.163344777516983,0,NA,NA
