"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step oracle",0.2,2500,1000,10,10,0.4,0.176619655341097,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.6,0.103327418914899,0.0285339315714138,1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,10,10,0.6,0.0909957819384334,0.173731151972266,1,0.00404040404040404
"two-step oracle",0.2,2500,1000,10,10,0.6,0.0970598556464937,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.8,0.0708494173547205,0.0189367188133011,1,0.00303030303030303
"two-step+refitted",0.2,2500,1000,10,10,0.8,0.0587248847862124,0.106857201930063,1,0.00303030303030303
"two-step oracle",0.2,2500,1000,10,10,0.8,0.0662945244504463,0,NA,NA
"two-step",0.2,2500,1000,10,10,1,0.0535877434809442,0.0145385784027594,1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,10,10,1,0.0470910527677643,0.0899228867680837,1,0.00404040404040404
"two-step oracle",0.2,2500,1000,10,10,1,0.0502388344757804,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.2,0.835980715745465,0.257066788090461,0.4,0.00909090909090909
"two-step+refitted",0.2,2500,1000,110,10,0.2,0.949765468478795,1.37640788940382,0.4,0.00909090909090909
"two-step oracle",0.2,2500,1000,110,10,0.2,0.981641446918495,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.4,0.454275991186712,0.129715170525284,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,110,10,0.4,0.413492632194308,0.616660803364786,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,110,10,0.4,0.397386172557814,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.6,0.250787666769646,0.0642086056079049,1,0.0151515151515152
"two-step+refitted",0.2,2500,1000,110,10,0.6,0.224910264372184,0.331242286056553,1,0.0151515151515152
"two-step oracle",0.2,2500,1000,110,10,0.6,0.218380250317471,0,NA,NA
"two-step",0.2,2500,1000,110,10,0.8,0.170478172146169,0.0495493420031299,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,110,10,0.8,0.155285232806922,0.231502015225149,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,110,10,0.8,0.149159657695086,0,NA,NA
"two-step",0.2,2500,1000,110,10,1,0.129537886739082,0.0354394390313953,1,0.0161616161616162
"two-step+refitted",0.2,2500,1000,110,10,1,0.118563915392891,0.176963056137794,1,0.0161616161616162
"two-step oracle",0.2,2500,1000,110,10,1,0.113035087219146,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.2,0.576096845657952,0.351890797177055,0.6,0.0232323232323232
"two-step+refitted",0.2,2500,1000,111,10,0.2,0.764315543531909,1.65553828283535,0.6,0.0232323232323232
"two-step oracle",0.2,2500,1000,111,10,0.2,0.851790322279416,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.4,0.346133696999226,0.146986716313023,1,0.0242424242424242
"two-step+refitted",0.2,2500,1000,111,10,0.4,0.31617135469019,0.673673285673327,1,0.0242424242424242
"two-step oracle",0.2,2500,1000,111,10,0.4,0.344820093991516,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.6,0.191200608636879,0.0743421735045347,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,111,10,0.6,0.175393101187986,0.364979265799233,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,111,10,0.6,0.18949300111696,0,NA,NA
"two-step",0.2,2500,1000,111,10,0.8,0.129690377325785,0.0574618251396575,1,0.0242424242424242
"two-step+refitted",0.2,2500,1000,111,10,0.8,0.118710481778308,0.252875607560195,1,0.0242424242424242
"two-step oracle",0.2,2500,1000,111,10,0.8,0.129428879860381,0,NA,NA
"two-step",0.2,2500,1000,111,10,1,0.0986995681775372,0.0403973243136778,1,0.0242424242424242
"two-step+refitted",0.2,2500,1000,111,10,1,0.0899583782395459,0.19163319002978,1,0.0242424242424242
"two-step oracle",0.2,2500,1000,111,10,1,0.0980828526276276,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.2,0.528365519302689,0.56149577296679,0.6,0.0242424242424242
"two-step+refitted",0.2,2500,1000,112,10,0.2,0.398001905305634,1.93066119291763,0.6,0.0242424242424242
"two-step oracle",0.2,2500,1000,112,10,0.2,0.785024748470361,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.4,0.35994449211844,0.207775439463751,1,0.0242424242424242
"two-step+refitted",0.2,2500,1000,112,10,0.4,0.330970229792215,0.778464140408558,1,0.0242424242424242
"two-step oracle",0.2,2500,1000,112,10,0.4,0.317792184852295,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.6,0.198148949162128,0.111734549901107,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,112,10,0.6,0.183811553742247,0.424467069171325,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,112,10,0.6,0.174640039511896,0,NA,NA
"two-step",0.2,2500,1000,112,10,0.8,0.135672724362346,0.0741004622775969,1,0.0222222222222222
"two-step+refitted",0.2,2500,1000,112,10,0.8,0.125452917911184,0.29073775363262,1,0.0222222222222222
"two-step oracle",0.2,2500,1000,112,10,0.8,0.119283902622063,0,NA,NA
"two-step",0.2,2500,1000,112,10,1,0.102611502775172,0.0564078111130781,1,0.0222222222222222
"two-step+refitted",0.2,2500,1000,112,10,1,0.0950802724267483,0.22032509764363,1,0.0222222222222222
"two-step oracle",0.2,2500,1000,112,10,1,0.0903948597434246,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.2,0.788894476642829,0.030382202275985,0.3,0.00101010101010101
"two-step+refitted",0.2,2500,1000,113,10,0.2,0.704662377974454,0.46677048081082,0.3,0.00101010101010101
"two-step oracle",0.2,2500,1000,113,10,0.2,0.852982141843686,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.4,0.394786022765779,0.0267608461984177,1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,113,10,0.4,0.351407804084303,0.302586240671647,1,0.00404040404040404
"two-step oracle",0.2,2500,1000,113,10,0.4,0.345302564058886,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.6,0.218392617867706,0.0110517168982385,1,0.00303030303030303
"two-step+refitted",0.2,2500,1000,113,10,0.6,0.191018882574121,0.137359967371462,1,0.00303030303030303
"two-step oracle",0.2,2500,1000,113,10,0.6,0.18975813851065,0,NA,NA
"two-step",0.2,2500,1000,113,10,0.8,0.147307135905356,0.0129361251223622,1,0.00606060606060606
"two-step+refitted",0.2,2500,1000,113,10,0.8,0.133391392877509,0.137705786923379,1,0.00606060606060606
"two-step oracle",0.2,2500,1000,113,10,0.8,0.12960997592025,0,NA,NA
"two-step",0.2,2500,1000,113,10,1,0.111722415255533,0.00925373448785792,1,0.00606060606060606
"two-step+refitted",0.2,2500,1000,113,10,1,0.101030195351467,0.104256090186223,1,0.00606060606060606
"two-step oracle",0.2,2500,1000,113,10,1,0.0982200895269247,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.2,0.761631263800145,0.443676700032807,0.5,0.0242424242424242
"two-step+refitted",0.2,2500,1000,114,10,0.2,0.930854199732941,1.91465683396802,0.5,0.0242424242424242
"two-step oracle",0.2,2500,1000,114,10,0.2,0.794834397009389,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.4,0.342845485005435,0.242874436116474,1,0.0474747474747475
"two-step+refitted",0.2,2500,1000,114,10,0.4,0.301237935584555,0.992623128904277,1,0.0474747474747475
"two-step oracle",0.2,2500,1000,114,10,0.4,0.321763307607244,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.6,0.190315637319017,0.122183978265722,1,0.0434343434343434
"two-step+refitted",0.2,2500,1000,114,10,0.6,0.154022496641632,0.505469864289029,1,0.0434343434343434
"two-step oracle",0.2,2500,1000,114,10,0.6,0.176822336836659,0,NA,NA
"two-step",0.2,2500,1000,114,10,0.8,0.130207707468276,0.0822393125302673,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,114,10,0.8,0.106127714820366,0.339726314739899,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,114,10,0.8,0.120774471121167,0,NA,NA
"two-step",0.2,2500,1000,114,10,1,0.0985294164900977,0.0631005589922009,1,0.0414141414141414
"two-step+refitted",0.2,2500,1000,114,10,1,0.07971537976516,0.259225572716947,1,0.0414141414141414
"two-step oracle",0.2,2500,1000,114,10,1,0.0915244315251418,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.2,0.68476980854404,0.55821076758404,0.4,0.0484848484848485
"two-step+refitted",0.2,2500,1000,115,10,0.2,0.636578742264422,2.24890036085378,0.4,0.0484848484848485
"two-step oracle",0.2,2500,1000,115,10,0.2,0.667743862125303,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.4,0.28391934067425,0.287908721379794,1,0.0737373737373737
"two-step+refitted",0.2,2500,1000,115,10,0.4,0.300664301191633,1.05713297137786,1,0.0737373737373737
"two-step oracle",0.2,2500,1000,115,10,0.4,0.270314765591778,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.6,0.15648920196371,0.140334418040938,1,0.0585858585858586
"two-step+refitted",0.2,2500,1000,115,10,0.6,0.155259049608117,0.518516592253957,1,0.0585858585858586
"two-step oracle",0.2,2500,1000,115,10,0.6,0.148549220508804,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.8,0.107059719614704,0.0916556241903041,1,0.0575757575757576
"two-step+refitted",0.2,2500,1000,115,10,0.8,0.105740438846106,0.354909028997528,1,0.0575757575757576
"two-step oracle",0.2,2500,1000,115,10,0.8,0.101463162761989,0,NA,NA
"two-step",0.2,2500,1000,115,10,1,0.0811086013283406,0.0691619037072373,1,0.0575757575757576
