"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step+refitted",0.05,10000,1000,168,10,0.0548534337842262,0.216943932445334,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,168,10,0.0488301678443562,0,NA,NA
"two-step",0.05,10000,1000,169,10,0.138708835378405,0.0269689626179743,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,169,10,0.056864057033837,0.144082510151507,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,169,10,0.0529358492073679,0,NA,NA
"two-step",0.05,10000,1000,16,10,0.0961363865674391,0.0411914338291481,1,0.0424242424242424
"two-step+refitted",0.05,10000,1000,16,10,0.0754679866147227,0.199549938403283,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,16,10,0.0771107254829482,0,NA,NA
"two-step",0.05,10000,1000,170,10,0.107701218139571,0.035703095857289,1,0.0262626262626263
"two-step+refitted",0.05,10000,1000,170,10,0.0528392189750826,0.177978370732905,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,170,10,0.0475054755319038,0,NA,NA
"two-step",0.05,10000,1000,171,10,0.104099212034525,0.0267527320081222,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,171,10,0.0440518309562875,0.157687088277843,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,171,10,0.0491573499172177,0,NA,NA
"two-step",0.05,10000,1000,172,10,0.087914636628593,0.0408289191209061,1,0.0555555555555556
"two-step+refitted",0.05,10000,1000,172,10,0.0284433410073933,0.236233590232908,1,0.0555555555555556
"two-step oracle",0.05,10000,1000,172,10,0.0287017897577101,0,NA,NA
"two-step",0.05,10000,1000,173,10,0.0942677799133834,0.0408512163371333,1,0.0404040404040404
"two-step+refitted",0.05,10000,1000,173,10,0.0533258339511863,0.203187436955559,1,0.0404040404040404
"two-step oracle",0.05,10000,1000,173,10,0.0495130577546546,0,NA,NA
"two-step",0.05,10000,1000,174,10,0.0948208361999794,0.0356292511685976,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,174,10,0.0454314978258836,0.181987676894296,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,174,10,0.0498153862214702,0,NA,NA
"two-step",0.05,10000,1000,175,10,0.085905256856423,0.059339380112086,1,0.0555555555555556
"two-step+refitted",0.05,10000,1000,175,10,0.0523078163351176,0.249576635314059,1,0.0555555555555556
"two-step oracle",0.05,10000,1000,175,10,0.0471659179088059,0,NA,NA
"two-step",0.05,10000,1000,176,10,0.0612070783068175,0.0755154008939189,1,0.0606060606060606
"two-step+refitted",0.05,10000,1000,176,10,0.0479166297439297,0.265659091341525,1,0.0606060606060606
"two-step oracle",0.05,10000,1000,176,10,0.0383452003830844,0,NA,NA
"two-step",0.05,10000,1000,177,10,0.0995568874431892,0.0355526971503117,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,177,10,0.0385988988972283,0.188809936304593,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,177,10,0.0446490717773092,0,NA,NA
"two-step",0.05,10000,1000,178,10,0.121499846470049,0.0633108328171855,1,0.0545454545454545
"two-step+refitted",0.05,10000,1000,178,10,0.0579578454948417,0.246211617780568,1,0.0545454545454545
"two-step oracle",0.05,10000,1000,178,10,0.0520349135075862,0,NA,NA
"two-step",0.05,10000,1000,179,10,0.0716840432035908,0.0451024959342087,1,0.0666666666666667
"two-step+refitted",0.05,10000,1000,179,10,0.0363139330780412,0.228422492040606,1,0.0666666666666667
"two-step oracle",0.05,10000,1000,179,10,0.0359519318844953,0,NA,NA
"two-step",0.05,10000,1000,17,10,0.0957327780833197,0.0317016904514492,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,17,10,0.0400678225629081,0.173681036600466,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,17,10,0.0454194462947764,0,NA,NA
"two-step",0.05,10000,1000,180,10,0.0805149332420222,0.0388953973614376,1,0.0343434343434343
"two-step+refitted",0.05,10000,1000,180,10,0.0340259302027315,0.198568463714429,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,180,10,0.0314102325179848,0,NA,NA
"two-step",0.05,10000,1000,181,10,0.0828212703058684,0.0204375899622063,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,181,10,0.0557574076248652,0.138179609633184,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,181,10,0.0541715662541263,0,NA,NA
"two-step",0.05,10000,1000,182,10,0.123199636856355,0.0154796996010065,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,182,10,0.0353881541954727,0.118828121718492,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,182,10,0.0437466233242113,0,NA,NA
"two-step",0.05,10000,1000,183,10,0.0771650622959943,0.0208570186684474,1,0.0202020202020202
"two-step+refitted",0.05,10000,1000,183,10,0.0544420405752892,0.161418005759151,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,183,10,0.0367256872445663,0,NA,NA
"two-step",0.05,10000,1000,184,10,0.0916056629943513,0.096618255317419,1,0.0909090909090909
"two-step+refitted",0.05,10000,1000,184,10,0.0415474598769009,0.301286790527092,1,0.0909090909090909
"two-step oracle",0.05,10000,1000,184,10,0.0371357702032054,0,NA,NA
"two-step",0.05,10000,1000,185,10,0.154758471093734,0.0229037711589613,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,185,10,0.0624034990264942,0.137044617870452,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,185,10,0.059303386575388,0,NA,NA
"two-step",0.05,10000,1000,186,10,0.106853401287269,0.0280215395506399,1,0.0343434343434343
"two-step+refitted",0.05,10000,1000,186,10,0.0484498224052088,0.19970118453039,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,186,10,0.0450352791794892,0,NA,NA
"two-step",0.05,10000,1000,187,10,0.119710692598793,0.0478304788885056,1,0.0454545454545455
"two-step+refitted",0.05,10000,1000,187,10,0.0599311232987534,0.22655663887899,1,0.0454545454545455
"two-step oracle",0.05,10000,1000,187,10,0.0565985004820179,0,NA,NA
"two-step",0.05,10000,1000,188,10,0.0939253725454722,0.0295112807045723,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,188,10,0.0405823689612594,0.202596755637462,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,188,10,0.0392534387290256,0,NA,NA
"two-step",0.05,10000,1000,189,10,0.114546020310787,0.0452299340380503,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,189,10,0.0590763182375222,0.209573287948079,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,189,10,0.0650660875340392,0,NA,NA
"two-step",0.05,10000,1000,18,10,0.125555450220501,0.0572632217717045,1,0.0494949494949495
"two-step+refitted",0.05,10000,1000,18,10,0.0503268008333041,0.230745637523725,1,0.0494949494949495
"two-step oracle",0.05,10000,1000,18,10,0.0438403110114529,0,NA,NA
"two-step",0.05,10000,1000,190,10,0.106618153241178,0.0309734477692517,1,0.0323232323232323
"two-step+refitted",0.05,10000,1000,190,10,0.0494182387539359,0.175551170303938,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,190,10,0.0417361125897617,0,NA,NA
"two-step",0.05,10000,1000,191,10,0.103647078980777,0.0337067308344675,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,191,10,0.0446723946181962,0.179471290768447,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,191,10,0.05266629909778,0,NA,NA
