"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,180,10,0.0398772897206329,0.015542998644459,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,180,10,0.0370074842413504,0.136920014086604,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,180,10,0.0387045000513149,0,NA,NA
"two-step",0.05,10000,1000,181,10,0.0916770120341545,0.0477536225187694,1,0.0424242424242424
"two-step+refitted",0.05,10000,1000,181,10,0.0979865479519413,0.203558286714451,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,181,10,0.109879126967713,0,NA,NA
"two-step",0.05,10000,1000,182,10,0.0815880384609677,0.00167435358329435,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,182,10,0.0545416892866814,0.0606531135461486,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,182,10,0.0585776816778242,0,NA,NA
"two-step",0.05,10000,1000,183,10,0.0472785413205761,0.0154756167954873,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,183,10,0.0451549985910393,0.132836216382245,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,183,10,0.0493046058389167,0,NA,NA
"two-step",0.05,10000,1000,184,10,0.0631780452380825,0.00806926155419387,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,184,10,0.0520837277030511,0.0884749008508216,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,184,10,0.0566083224659105,0,NA,NA
"two-step",0.05,10000,1000,185,10,0.0771027803491821,0.0507993243814057,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,185,10,0.065227873192049,0.216912122015464,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,185,10,0.0645682133965358,0,NA,NA
"two-step",0.05,10000,1000,186,10,0.105677551365379,0.0297786881234102,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,186,10,0.102009436585489,0.147325834497799,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,186,10,0.104375710432853,0,NA,NA
"two-step",0.05,10000,1000,187,10,0.0957872990507029,0.00837405990488446,1,0.00505050505050505
"two-step+refitted",0.05,10000,1000,187,10,0.0923716214737222,0.0974616061946625,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,187,10,0.0997124732976073,0,NA,NA
"two-step",0.05,10000,1000,188,10,0.0767567735263932,0.0232556343558105,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,188,10,0.0719884313725238,0.167627915185316,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,188,10,0.0617611298257749,0,NA,NA
"two-step",0.05,10000,1000,189,10,0.105809978582565,0.00857873182691091,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,189,10,0.0922981273531377,0.100329445757841,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,189,10,0.106878433554317,0,NA,NA
"two-step",0.05,10000,1000,18,10,0.110570264802244,0.010628214147863,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,18,10,0.0815767846351227,0.0823421246710326,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,18,10,0.101627161508414,0,NA,NA
"two-step",0.05,10000,1000,190,10,0.0591378303952932,0.0148711328097111,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,190,10,0.0437167781799659,0.0850868423666747,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,190,10,0.0443011702815924,0,NA,NA
"two-step",0.05,10000,1000,191,10,0.0757150973530426,0.0156560756278853,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,191,10,0.070950454735252,0.122389228330259,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,191,10,0.0695523442161989,0,NA,NA
