"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step oracle",0.05,10000,1000,167,10,0.0712515101488132,0,NA,NA
"two-step",0.05,10000,1000,168,10,0.109589994909454,0.0366771759128163,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,168,10,0.103064788809256,0.166621990315252,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,168,10,0.107476013250699,0,NA,NA
"two-step",0.05,10000,1000,169,10,0.081735020645661,0.0478791681407439,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,169,10,0.0666653341880126,0.219723405876841,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,169,10,0.05767358202008,0,NA,NA
"two-step",0.05,10000,1000,16,10,0.0863387283497818,0.0766399375857046,1,0.0707070707070707
"two-step+refitted",0.05,10000,1000,16,10,0.074939566255472,0.263624643602937,1,0.0707070707070707
"two-step oracle",0.05,10000,1000,16,10,0.0682345267418138,0,NA,NA
"two-step",0.05,10000,1000,170,10,0.0751666050030915,0.00245471559081084,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,170,10,0.0569745904558949,0.0409476072737907,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,170,10,0.0639425353981197,0,NA,NA
"two-step",0.05,10000,1000,171,10,0.0714899957195969,0.0546801628867818,1,0.0444444444444444
"two-step+refitted",0.05,10000,1000,171,10,0.0658249071846917,0.2459215652919,1,0.0444444444444444
"two-step oracle",0.05,10000,1000,171,10,0.0840426534652634,0,NA,NA
"two-step",0.05,10000,1000,172,10,0.0929726543282576,0.0411246734426745,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,172,10,0.0675375334027702,0.173260144090898,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,172,10,0.0727677673727547,0,NA,NA
"two-step",0.05,10000,1000,173,10,0.078791858303659,0.0106781783842441,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,173,10,0.0776676983580559,0.109329689906876,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,173,10,0.0730887019347117,0,NA,NA
"two-step",0.05,10000,1000,174,10,0.0619111329159129,0.0366979693182672,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,174,10,0.0522836361005946,0.144405958919535,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,174,10,0.0598642103372706,0,NA,NA
"two-step",0.05,10000,1000,175,10,0.089506129604415,0.0194936430848514,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,175,10,0.0664556820706248,0.111393650556243,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,175,10,0.0690195667179406,0,NA,NA
"two-step",0.05,10000,1000,176,10,0.0716247937131432,0.00903161080456956,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,176,10,0.0510584320673043,0.0811409327913111,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,176,10,0.0525718727632618,0,NA,NA
"two-step",0.05,10000,1000,177,10,0.0683710295873739,0.0460079573640282,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,177,10,0.0584043875170353,0.183185566817021,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,177,10,0.0644041772034717,0,NA,NA
"two-step",0.05,10000,1000,178,10,0.114296778420296,0.0508758864185104,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,178,10,0.106400617011763,0.21382739353822,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,178,10,0.114657239050762,0,NA,NA
"two-step",0.05,10000,1000,179,10,0.0690475275954961,0.0221227370573363,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,179,10,0.0725421719136114,0.144502629367675,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,179,10,0.0699744417110522,0,NA,NA
"two-step",0.05,10000,1000,17,10,0.0749297686413279,0.0353525210984763,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,17,10,0.0619288660650614,0.153983953410617,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,17,10,0.0685428868198016,0,NA,NA
"two-step",0.05,10000,1000,180,10,0.0398772897206328,0.0155429986444613,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,180,10,0.0370074842413479,0.136920014086606,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,180,10,0.0345738344313858,0,NA,NA
"two-step",0.05,10000,1000,181,10,0.0916770120341542,0.0477536225187699,1,0.0424242424242424
"two-step+refitted",0.05,10000,1000,181,10,0.0979865479519411,0.203558286714452,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,181,10,0.109867628099792,0,NA,NA
"two-step",0.05,10000,1000,182,10,0.0815880384609657,0.00167435358329676,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,182,10,0.0545416892866759,0.060653113546151,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,182,10,0.0582173424699214,0,NA,NA
"two-step",0.05,10000,1000,183,10,0.0472785413205759,0.0154756167954879,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,183,10,0.0451549985910367,0.132836216382247,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,183,10,0.0458346385804316,0,NA,NA
"two-step",0.05,10000,1000,184,10,0.0631780452380826,0.00806926155419426,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,184,10,0.0520837277030459,0.088474900850822,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,184,10,0.0551827814192237,0,NA,NA
"two-step",0.05,10000,1000,185,10,0.0771027803491849,0.0507993243814076,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,185,10,0.0652278731920543,0.216912122015466,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,185,10,0.0645279864288969,0,NA,NA
"two-step",0.05,10000,1000,186,10,0.105677551365375,0.0297786881234076,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,186,10,0.102009436585483,0.147325834497798,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,186,10,0.103874915083577,0,NA,NA
"two-step",0.05,10000,1000,187,10,0.0957872990507056,0.00837405990488706,1,0.00505050505050505
"two-step+refitted",0.05,10000,1000,187,10,0.0923716214737236,0.0974616061946659,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,187,10,0.099916548611984,0,NA,NA
"two-step",0.05,10000,1000,188,10,0.0767567735263928,0.0232556343558117,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,188,10,0.0719884313725248,0.167627915185316,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,188,10,0.0618961439331161,0,NA,NA
"two-step",0.05,10000,1000,189,10,0.105809978582566,0.00857873182691245,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,189,10,0.0922981273531389,0.100329445757843,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,189,10,0.106865709832569,0,NA,NA
"two-step",0.05,10000,1000,18,10,0.110570264802245,0.0106282141478631,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,18,10,0.0815767846351168,0.0823421246710323,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,18,10,0.0951170750043085,0,NA,NA
"two-step",0.05,10000,1000,190,10,0.0591378303952902,0.0148711328097131,1,0.00404040404040404
"two-step+refitted",0.05,10000,1000,190,10,0.0437167781799594,0.085086842366677,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,190,10,0.0442830567991429,0,NA,NA
"two-step",0.05,10000,1000,191,10,0.0757150973530429,0.0156560756278848,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,191,10,0.0709504547352544,0.122389228330256,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,191,10,0.068385405654866,0,NA,NA
