"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step",0.05,10000,1000,14,10,0.0892802625036923,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,14,10,0.350498518269617,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,14,10,0.0142716156826772,NA,NA
"glmnet",0.05,10000,1000,14,10,0.0436451063233995,1,0
"two-step",0.05,10000,1000,165,10,0.0549946732114836,1,0.0232323232323232
"two-step+Adaptive Lasso",0.05,10000,1000,165,10,0.287684562700726,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,165,10,0.0104267108983689,NA,NA
"glmnet",0.05,10000,1000,165,10,0.0427632199372151,1,0
"two-step",0.05,10000,1000,179,10,0.104483242682952,1,0.0373737373737374
"two-step+Adaptive Lasso",0.05,10000,1000,179,10,0.388048070360494,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,179,10,0.0107042528797134,NA,NA
"glmnet",0.05,10000,1000,179,10,0.0396259025200872,1,0
"two-step",0.05,10000,1000,180,10,0.0984308170233211,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,180,10,0.321465765863203,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,180,10,0.0133470562229583,NA,NA
"glmnet",0.05,10000,1000,180,10,0.0420261366809362,1,0
"two-step",0.05,10000,1000,181,10,0.0701876633655821,1,0.0181818181818182
"two-step+Adaptive Lasso",0.05,10000,1000,181,10,0.32063236486669,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,181,10,0.0125568305805141,NA,NA
"glmnet",0.05,10000,1000,181,10,0.0449848590515799,1,0
"two-step",0.05,10000,1000,182,10,0.0545040094285357,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,182,10,0.265937435055345,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,182,10,0.0090601375100027,NA,NA
"glmnet",0.05,10000,1000,182,10,0.0403609839101725,1,0
"two-step",0.05,10000,1000,183,10,0.0631554574656611,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,183,10,0.325436410050863,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,183,10,0.00766940485865667,NA,NA
"glmnet",0.05,10000,1000,183,10,0.0385737658279973,1,0
"two-step",0.05,10000,1000,184,10,0.050960968169291,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,184,10,0.253478425142578,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,184,10,0.0108093709374433,NA,NA
"glmnet",0.05,10000,1000,184,10,0.0492840967030538,1,0
"two-step",0.05,10000,1000,185,10,0.0469331480475896,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,185,10,0.237936103687657,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,185,10,0.00817705190389311,NA,NA
"glmnet",0.05,10000,1000,185,10,0.0554929335743675,1,0
"two-step",0.05,10000,1000,189,10,0.125537352494355,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,189,10,0.372225592217154,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,189,10,0.0110823182537465,NA,NA
"glmnet",0.05,10000,1000,189,10,0.0367095781218444,1,0.00101010101010101
"two-step",0.05,10000,1000,18,10,0.0356672115627881,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,18,10,0.193515675308078,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,18,10,0.0082914711389546,NA,NA
"glmnet",0.05,10000,1000,18,10,0.0473579372507035,1,0
"two-step",0.05,10000,1000,191,10,0.0913184617544596,1,0.0292929292929293
"two-step+Adaptive Lasso",0.05,10000,1000,191,10,0.366301410866939,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,191,10,0.00834059041139111,NA,NA
"glmnet",0.05,10000,1000,191,10,0.0474574747328692,1,0
"two-step",0.05,10000,1000,192,10,0.0824843835907764,1,0.0505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,192,10,0.360111637699376,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,192,10,0.00975954576945059,NA,NA
